0,"['item', 'document', 'guess', 'write', 'like', 'code', 'code', 'offici', 'never', 'synonym', 'ye', 'offici', 'iso', 'standard', 'time', 'articl', 'time', 'also', 'known', 'time', 'sinc', 'phonet', 'alphabet', 'word']"
3,"['canton', 'within', 'municip', 'think', 'might', 'link', 'wrong', 'topic', 'topic', 'question']"
5,"['confus', 'link', 'quit', 'content', 'hard', 'make', 'good', 'link', 'doubl', 'link', 'one', 'languag', 'link', 'correct', 'gilbert', 'gilbert', 'gilbert']"
6,"['delet', 'result']"
7,"['discus', 'page', 'sport', 'first', 'discus', 'sport', 'one', 'headlin', 'tri', 'chang', 'help']"
8,"['categori', 'version', 'categori', 'sex', 'must', 'ad', 'categori', 'sex']"
9,"['delet', 'categori', 'start']"
10,"['compos', 'three', 'name']"
11,"['recommend', 'mani', 'galleri', 'link', 'common', 'see', 'wrong']"
12,"['articl', 'articl', 'funt', 'funt', 'unit', 'measur', 'use', 'ago', 'intern', 'unit', 'measur']"
13,"['arctic', 'gnome', 'seen', 'seem', 'particular', 'instanc', 'result', 'wrong']"
14,"['nativ', 'label', 'good', 'hear', 'mani', 'bear', 'name', 'certainli', 'make', 'dutch', 'name', 'name', 'alreadi', 'dutch', 'languag', 'centuri', 'immigr', 'knock', 'door']"
15,"['item', 'split', 'citi', 'island', 'lot', 'overlap']"
16,"['would', 'attempt', 'put', 'photograph', 'pictur', 'paint', 'depict', 'sort', 'prophet', 'respect', 'fellow', 'conform', 'languag', 'version', 'frame', 'refrain', 'repeatedli', 'photograph', 'link', 'show', 'photo', 'bodi', 'articl', 'peopl', 'would', 'like', 'look', 'need', 'frame', 'unsign', 'imag', 'use', 'multipl', 'one', 'religi', 'effect', 'content']"
17,"['photograph', 'sourc', 'photograph']"
19,"['audio', 'file', 'file', 'addit', 'audio', 'exact', 'word', 'sound', 'clip', 'came', 'sound', 'taken', 'mani']"
20,"['delet', 'along']"
21,"['wonder', 'imag', 'wisewoman', 'wisewoman', 'wisewoman']"
22,"['term', 'event', 'instead', 'item']"
25,"['remov', 'nation', 'sinc', 'much', 'sen', 'german', 'nation', 'establish', 'german', 'empir']"
26,"['properti', 'part']"
27,"['fuller', 'citat', 'pub', 'law', 'titl', 'sec', 'graham', 'graham', 'graham']"
28,"['anachron', 'suppress', 'declar', 'relat', 'suppos', 'blatant', 'anachron', 'geneva', 'yet', 'part', 'independ', 'time']"
29,"['polish', 'know', 'talk']"
30,"['put', 'place', 'public', 'link', 'wrong', 'agre', 'look', 'validli']"
31,"['current', 'treatment', 'hove', 'anomal', 'context', 'similar', 'singl', 'item', 'hove', 'citi', 'unitari', 'author', 'howev', 'see', 'exactli', 'categori', 'say', 'separ', 'citi', 'citi', 'unitari', 'author', 'goe', 'citi', 'citi', 'unitari', 'author', 'hove', 'similar', 'citi', 'unitari', 'essenti', 'respect', 'differ', 'say', 'citi', 'unitari', 'author', 'geograph', 'much', 'particular', 'interest', 'seri', 'local', 'author', 'separ', 'geograph', 'name', 'call', 'everyth', 'work', 'happili', 'till', 'sinc', 'separ', 'local', 'hove', 'pattern', 'way', 'differ', 'often', 'geograph', 'local', 'articl', 'want', 'want', 'take', 'full', 'advantag', 'separ', 'exist', 'like', 'see', 'unitari', 'author', 'materi', 'new', 'citi', 'hove', 'item', 'would', 'creat', 'logic', 'consist', 'result', 'someth', 'implement', 'without', 'support', 'commun', 'think']"
32,"['remov', 'remov', 'topic', 'singl', 'place', 'world', 'headquart']"
33,"['found', 'canada', 'televis', 'mess', 'japan', 'televis', 'corp']"
34,"['two', 'distinct', 'festiv', 'state', 'synonym', 'see', 'two']"
35,"['link', 'first', 'languag', 'probabl', 'link', 'howev', 'link', 'broken', 'first', 'sorri', 'get', 'back', 'thread']"
36,"['municip', 'set', 'properti', 'correct']"
38,"['remov', 'refer', 'hertz', 'statist', 'one', 'disintegr', 'per', 'second', 'wherea', 'hertz', 'regular', 'frequenc']"
39,"['subclass', 'capit', 'statement', 'subclass', 'capit', 'link', 'articl', 'realli', 'suppos', 'controversi', 'whether', 'capit', 'japan', 'silver', 'silver', 'silver']"
40,"['entri', 'duplic', 'coron']"
41,"['merg', 'da', 'da', 'da']"
